id,name,category,subcategory,rarity,professions,region,short_summary,icon
30853,Iron-banded Root,Ingredient,Tea Leaf,Common,Herbalism,Saltmarrow,"Saltmarrow tea leaf ingredient: common among dockhands, often a buff ingredient.",ingredient_iron_banded_root.png
30854,Frostbit Stew,Consumable,Tea,Common,Alchemy,Glimmerdeep,"Glimmerdeep tea consumable: favored by local scouts, often a salt-proofing aid.",consumable_frostbit_stew.png
30855,Cedar-scented Marker,Curio,Keepsake,Uncommon,None,Hollowroot,"Hollowroot keepsake curio: sought by apprentices, often a alchemy base.",curio_cedar_scented_marker.png
30856,Mire-touched Sash of Ember,Gear,Shield,Rare,Engineering,Greatwood,"Greatwood shield gear: recommended by old timers, often a camp utility.",gear_mire_touched_sash_of_ember.png
30857,Windworn Map Slip,Document,Map Fragment,Common,None,Frostbriar,"Frostbriar map fragment document: rings softly when shaken, often a crafting reagent.",document_windworn_map_slip.png
30858,Silt-grit Cord,Curio,Charm,Common,None,Frostbriar,"Frostbriar charm curio: recommended by old timers, often a trap component.",curio_silt_grit_cord.png
30859,River-smooth Cap,Ingredient,Spice,Common,Herbalism,Frostbriar,"Frostbriar spice ingredient: common among dockhands, often a salt-proofing aid.",ingredient_river_smooth_cap.png
30860,Sturdy Dispatch,Document,Letter,Common,None,Frostbriar,"Frostbriar letter document: rings softly when shaken, often a ritual prop.",document_sturdy_dispatch.png
30861,Mossy Pod,Ingredient,Grain,Common,Engineering,Frostbriar,"Frostbriar grain ingredient: favored by local scouts, often a alchemy base.",ingredient_mossy_pod.png
30862,Soot-black Ration,Consumable,Tonic,Common,Woodworking,Glimmerdeep,"Glimmerdeep tonic consumable: packed for storms, often a quest turn-in.",consumable_soot_black_ration.png
30863,Frostbit Chew,Consumable,Potion,Common,Mining,Frostbriar,"Frostbriar potion consumable: kept for superstition, often a buff ingredient.",consumable_frostbit_chew.png
30864,Tin-chimed Stew,Consumable,Salve,Common,Fishing,Saltmarrow,"Saltmarrow salve consumable: packed for storms, often a quest turn-in.",consumable_tin_chimed_stew.png
30865,River-smooth Chit,Curio,Sample Jar,Common,None,Glimmerdeep,"Glimmerdeep sample jar curio: recommended by old timers, often a ritual prop.",curio_river_smooth_chit.png
30866,River-smooth Bill,Document,Field Notes,Common,None,Emberford,"Emberford field notes document: common among dockhands, often a alchemy base.",document_river_smooth_bill.png
30867,Faded Cap,Ingredient,Meat,Common,Enchanting,Saltmarrow,"Saltmarrow meat ingredient: kept for superstition, often a crafting reagent.",ingredient_faded_cap.png
30868,Ash-dusted Root,Ingredient,Tea Leaf,Common,Cooking,Saltmarrow,"Saltmarrow tea leaf ingredient: valued for its clean burn, often a map clue.",ingredient_ash_dusted_root.png
30869,Kelp-woven Dispatch,Document,Permit,Rare,None,Frostbriar,"Frostbriar permit document: common among dockhands, often a alchemy base.",document_kelp_woven_dispatch.png
30870,Pine-sap Note,Document,Permit,Uncommon,None,Frostbriar,"Frostbriar permit document: smells faintly of cedar, often a fishing bait.",document_pine_sap_note.png
30871,Cedar-scented Rivet,Material,Salt,Common,Blacksmithing,Greatwood,"Greatwood salt material: recommended by old timers, often a fishing bait.",material_cedar_scented_rivet.png
30872,Frostbit Pickle,Consumable,Tea,Common,Woodworking,Glimmerdeep,"Glimmerdeep tea consumable: packed for storms, often a ritual prop.",consumable_frostbit_pickle.png
30873,Pine-sap Cord,Curio,Mask,Common,None,Saltmarrow,"Saltmarrow mask curio: rings softly when shaken, often a camp utility.",curio_pine_sap_cord.png
30874,Silt-grit Thread,Material,Bone,Common,Alchemy,Greatwood,"Greatwood bone material: favored by local scouts, often a quest turn-in.",material_silt_grit_thread.png
30875,Tin-chimed Map Slip,Document,Map Fragment,Uncommon,None,Glimmerdeep,"Glimmerdeep map fragment document: a staple in cold camps, often a alchemy base.",document_tin_chimed_map_slip.png
30876,Brine-cured Badge,Curio,Charm,Common,None,Frostbriar,"Frostbriar charm curio: carried for long treks, often a ritual prop.",curio_brine_cured_badge.png
30877,Ash-dusted Gloves of the Wharf,Gear,Staff,Uncommon,Cooking,Frostbriar,"Frostbriar staff gear: traded at night markets, often a trap component.",gear_ash_dusted_gloves_of_the_wharf.png
30878,Windworn Shield of the Trail,Gear,Dagger,Common,Mining,Emberford,"Emberford dagger gear: favored by local scouts, often a quest turn-in.",gear_windworn_shield_of_the_trail.png
30879,Worn Shortsword of Frost,Gear,Mace,Common,Cooking,Glimmerdeep,"Glimmerdeep mace gear: stains fingers dark, often a ritual prop.",gear_worn_shortsword_of_frost.png
30880,Kelp-woven Root,Ingredient,Herb,Common,Mining,Emberford,"Emberford herb ingredient: stains fingers dark, often a armor patching.",ingredient_kelp_woven_root.png
30881,Ash-dusted Thread,Material,Cloth,Uncommon,Enchanting,Greatwood,"Greatwood cloth material: a staple in cold camps, often a crafting reagent.",material_ash_dusted_thread.png
30882,Ash-dusted Dispatch,Document,Permit,Uncommon,None,Emberford,"Emberford permit document: a staple in cold camps, often a crafting reagent.",document_ash_dusted_dispatch.png
30883,Kelp-woven Bill,Document,Field Notes,Common,None,Saltmarrow,"Saltmarrow field notes document: kept for superstition, often a vendor staple.",document_kelp_woven_bill.png
30884,Salt-stained Bolt,Material,Fiber,Uncommon,Cooking,Saltmarrow,"Saltmarrow fiber material: packed for storms, often a armor patching.",material_salt_stained_bolt.png
30885,Frostbit Infusion,Consumable,Salve,Uncommon,Cooking,Emberford,"Emberford salve consumable: valued for its clean burn, often a buff ingredient.",consumable_frostbit_infusion.png
30886,Mossy Whistle,Curio,Mask,Common,None,Greatwood,"Greatwood mask curio: a staple in cold camps, often a camp utility.",curio_mossy_whistle.png
30887,Sturdy Cord,Curio,Game Piece,Common,None,Hollowroot,"Hollowroot game piece curio: used in field repairs, often a vendor staple.",curio_sturdy_cord.png
30888,Pine-sap Stew,Consumable,Potion,Common,Herbalism,Glimmerdeep,"Glimmerdeep potion consumable: common among dockhands, often a armor patching.",consumable_pine_sap_stew.png
30889,Windworn Resin,Material,Resin,Uncommon,Mining,Hollowroot,"Hollowroot resin material: rings softly when shaken, often a trap component.",material_windworn_resin.png
30890,Roughspun Voucher,Document,Ledger,Common,None,Frostbriar,"Frostbriar ledger document: carried for long treks, often a quest turn-in.",document_roughspun_voucher.png
30891,Briarbound Tunic,Gear,Dagger,Uncommon,Enchanting,Glimmerdeep,"Glimmerdeep dagger gear: packed for storms, often a vendor staple.",gear_briarbound_tunic.png
30892,Harbor-wet Slab,Material,Cloth,Uncommon,Engineering,Emberford,"Emberford cloth material: stains fingers dark, often a buff ingredient.",material_harbor_wet_slab.png
30893,Tin-chimed Handaxe of Silt,Gear,Cloth,Common,Herbalism,Emberford,"Emberford cloth gear: common among dockhands, often a armor patching.",gear_tin_chimed_handaxe_of_silt.png
30894,Soot-black Map Slip,Document,Letter,Uncommon,None,Frostbriar,"Frostbriar letter document: common among dockhands, often a vendor staple.",document_soot_black_map_slip.png
30895,Pine-sap Strap,Material,Cloth,Common,Engineering,Glimmerdeep,"Glimmerdeep cloth material: common among dockhands, often a fishing bait.",material_pine_sap_strap.png
30896,Lanternlit Bill,Document,Letter,Uncommon,None,Greatwood,"Greatwood letter document: carried for long treks, often a camp utility.",document_lanternlit_bill.png
30897,Silt-grit Cord,Curio,Game Piece,Common,None,Frostbriar,"Frostbriar game piece curio: carried for long treks, often a crafting reagent.",curio_silt_grit_cord.png
30898,Mossy Receipt,Document,Ledger,Common,None,Saltmarrow,"Saltmarrow ledger document: traded at night markets, often a alchemy base.",document_mossy_receipt.png
30899,Cedar-scented Dagger of Ember,Gear,Necklace,Common,Blacksmithing,Frostbriar,"Frostbriar necklace gear: traded at night markets, often a alchemy base.",gear_cedar_scented_dagger_of_ember.png
30900,Candle-smoke Stone,Curio,Tooling,Common,None,Saltmarrow,"Saltmarrow tooling curio: favored by local scouts, often a fishing bait.",curio_candle_smoke_stone.png
30901,Soot-black Salt,Material,Stone,Common,Fishing,Emberford,"Emberford stone material: packed for storms, often a crafting reagent.",material_soot_black_salt.png
30902,Pine-sap Broth,Consumable,Potion,Common,Mining,Saltmarrow,"Saltmarrow potion consumable: stains fingers dark, often a quest turn-in.",consumable_pine_sap_broth.png
30903,Kelp-woven Pickle,Consumable,Bandage,Common,Engineering,Hollowroot,"Hollowroot bandage consumable: recommended by old timers, often a camp utility.",consumable_kelp_woven_pickle.png
30904,Sturdy Spore,Ingredient,Fruit,Common,Cooking,Frostbriar,"Frostbriar fruit ingredient: traded at night markets, often a quest turn-in.",ingredient_sturdy_spore.png
30905,Worn Bark,Ingredient,Tea Leaf,Common,Engineering,Emberford,"Emberford tea leaf ingredient: valued for its clean burn, often a armor patching.",ingredient_worn_bark.png
30906,Briarbound Dagger of Frost,Gear,Staff,Common,Skinning,Emberford,"Emberford staff gear: traded at night markets, often a quest turn-in.",gear_briarbound_dagger_of_frost.png
30907,Harbor-wet Token,Curio,Game Piece,Common,None,Hollowroot,"Hollowroot game piece curio: sought by apprentices, often a alchemy base.",curio_harbor_wet_token.png
30908,Mire-touched Belt of Frost,Gear,Ring,Uncommon,None,Glimmerdeep,"Glimmerdeep ring gear: stains fingers dark, often a crafting reagent.",gear_mire_touched_belt_of_frost.png
30909,Kelp-woven Pith,Ingredient,Root,Common,Alchemy,Emberford,"Emberford root ingredient: a staple in cold camps, often a crafting reagent.",ingredient_kelp_woven_pith.png
30910,Cedar-scented Pendant of the Wharf,Gear,Ring,Common,Herbalism,Glimmerdeep,"Glimmerdeep ring gear: common among dockhands, often a trap component.",gear_cedar_scented_pendant_of_the_wharf.png
30911,Worn Tallow,Material,Resin,Rare,Engineering,Greatwood,"Greatwood resin material: recommended by old timers, often a crafting reagent.",material_worn_tallow.png
30912,Candle-smoke Bandage Roll,Consumable,Food,Uncommon,Mining,Frostbriar,"Frostbriar food consumable: packed for storms, often a ritual prop.",consumable_candle_smoke_bandage_roll.png
30913,Silt-grit Chew,Consumable,Tonic,Common,Skinning,Saltmarrow,"Saltmarrow tonic consumable: common among dockhands, often a quest turn-in.",consumable_silt_grit_chew.png
30914,Mossy Gland,Ingredient,Tea Leaf,Uncommon,Skinning,Frostbriar,"Frostbriar tea leaf ingredient: valued for its clean burn, often a alchemy base.",ingredient_mossy_gland.png
30915,Briarbound Stone,Curio,Tooling,Common,None,Frostbriar,"Frostbriar tooling curio: used in field repairs, often a map clue.",curio_briarbound_stone.png
30916,Mire-touched Bud,Ingredient,Insect,Common,Herbalism,Greatwood,"Greatwood insect ingredient: kept for superstition, often a fishing bait.",ingredient_mire_touched_bud.png
30917,Harbor-wet Cord,Curio,Mask,Common,None,Greatwood,"Greatwood mask curio: smells faintly of cedar, often a fishing bait.",curio_harbor_wet_cord.png
30918,Faded Cloak of the Mire,Gear,Shield,Common,Cooking,Glimmerdeep,"Glimmerdeep shield gear: recommended by old timers, often a salt-proofing aid.",gear_faded_cloak_of_the_mire.png
30919,Roughspun Ring,Gear,Dagger,Common,Alchemy,Saltmarrow,"Saltmarrow dagger gear: stains fingers dark, often a ritual prop.",gear_roughspun_ring.png
30920,Worn Tallow,Material,Stone,Uncommon,Enchanting,Glimmerdeep,"Glimmerdeep stone material: common among dockhands, often a camp utility.",material_worn_tallow.png
30921,Harbor-wet Tally,Curio,Tooling,Common,None,Glimmerdeep,"Glimmerdeep tooling curio: rings softly when shaken, often a vendor staple.",curio_harbor_wet_tally.png
30922,Glowcap Badge,Curio,Tooling,Uncommon,None,Emberford,"Emberford tooling curio: favored by local scouts, often a quest turn-in.",curio_glowcap_badge.png
30923,Lanternlit Stamp,Curio,Charm,Common,None,Emberford,"Emberford charm curio: kept for superstition, often a ritual prop.",curio_lanternlit_stamp.png
30924,Brine-cured Shortsword of Ember,Gear,Plate,Common,Alchemy,Glimmerdeep,"Glimmerdeep plate gear: kept for superstition, often a salt-proofing aid.",gear_brine_cured_shortsword_of_ember.png
30925,Soot-black Memo,Document,Map Fragment,Common,None,Greatwood,"Greatwood map fragment document: recommended by old timers, often a trap component.",document_soot_black_memo.png
30926,Windworn Chew,Consumable,Potion,Uncommon,Enchanting,Saltmarrow,"Saltmarrow potion consumable: a staple in cold camps, often a crafting reagent.",consumable_windworn_chew.png
30927,Worn Stamp,Curio,Charm,Common,None,Emberford,"Emberford charm curio: recommended by old timers, often a fishing bait.",curio_worn_stamp.png
30928,Harbor-wet Pod,Ingredient,Root,Uncommon,Herbalism,Hollowroot,"Hollowroot root ingredient: carried for long treks, often a camp utility.",ingredient_harbor_wet_pod.png
30929,Briarbound Clasp,Material,Glass,Common,Engineering,Saltmarrow,"Saltmarrow glass material: rings softly when shaken, often a ritual prop.",material_briarbound_clasp.png
30930,Glowcap Greaves of the Mire,Gear,Leather,Common,Enchanting,Hollowroot,"Hollowroot leather gear: stains fingers dark, often a vendor staple.",gear_glowcap_greaves_of_the_mire.png
30931,Roughspun Scrap,Material,Hide,Uncommon,Skinning,Glimmerdeep,"Glimmerdeep hide material: kept for superstition, often a camp utility.",material_roughspun_scrap.png
30932,Ash-dusted Stamp,Curio,Keepsake,Uncommon,None,Emberford,"Emberford keepsake curio: kept for superstition, often a crafting reagent.",curio_ash_dusted_stamp.png
30933,Frostbit Charm,Curio,Keepsake,Common,None,Emberford,"Emberford keepsake curio: a staple in cold camps, often a fishing bait.",curio_frostbit_charm.png
30934,Silt-grit Infusion,Consumable,Food,Rare,Alchemy,Glimmerdeep,"Glimmerdeep food consumable: stains fingers dark, often a ritual prop.",consumable_silt_grit_infusion.png
30935,River-smooth Staff of Moss,Gear,Cloth,Common,Blacksmithing,Emberford,"Emberford cloth gear: a staple in cold camps, often a armor patching.",gear_river_smooth_staff_of_moss.png
30936,Salt-stained Stamp,Curio,Game Piece,Rare,None,Glimmerdeep,"Glimmerdeep game piece curio: stains fingers dark, often a camp utility.",curio_salt_stained_stamp.png
30937,Iron-banded Slab,Material,Fiber,Common,Enchanting,Glimmerdeep,"Glimmerdeep fiber material: kept for superstition, often a buff ingredient.",material_iron_banded_slab.png
30938,Lanternlit Permit,Document,Permit,Common,None,Frostbriar,"Frostbriar permit document: rings softly when shaken, often a crafting reagent.",document_lanternlit_permit.png
30939,Tin-chimed Bud,Ingredient,Meat,Common,Cooking,Frostbriar,"Frostbriar meat ingredient: valued for its clean burn, often a vendor staple.",ingredient_tin_chimed_bud.png
30940,Iron-banded Ration,Consumable,Tea,Common,Fishing,Saltmarrow,"Saltmarrow tea consumable: valued for its clean burn, often a quest turn-in.",consumable_iron_banded_ration.png
30941,Roughspun Gloves of Brine,Gear,Ring,Common,Fishing,Greatwood,"Greatwood ring gear: a staple in cold camps, often a map clue.",gear_roughspun_gloves_of_brine.png
30942,Cedar-scented Leaf,Ingredient,Tea Leaf,Uncommon,Mining,Hollowroot,"Hollowroot tea leaf ingredient: recommended by old timers, often a salt-proofing aid.",ingredient_cedar_scented_leaf.png
30943,Sturdy Pellet,Consumable,Salve,Common,Blacksmithing,Greatwood,"Greatwood salve consumable: carried for long treks, often a crafting reagent.",consumable_sturdy_pellet.png
30944,Salt-stained Grit,Ingredient,Herb,Rare,Fishing,Frostbriar,"Frostbriar herb ingredient: carried for long treks, often a alchemy base.",ingredient_salt_stained_grit.png
30945,River-smooth Biscuit,Consumable,Tonic,Common,Engineering,Frostbriar,"Frostbriar tonic consumable: valued for its clean burn, often a quest turn-in.",consumable_river_smooth_biscuit.png
30946,Mossy Dispatch,Document,Field Notes,Common,None,Frostbriar,"Frostbriar field notes document: rings softly when shaken, often a salt-proofing aid.",document_mossy_dispatch.png
30947,Faded Cord,Curio,Charm,Common,None,Hollowroot,"Hollowroot charm curio: kept for superstition, often a alchemy base.",curio_faded_cord.png
30948,Briarbound Scribble,Document,Map Fragment,Common,None,Frostbriar,"Frostbriar map fragment document: valued for its clean burn, often a ritual prop.",document_briarbound_scribble.png
30949,Sturdy Pellet,Consumable,Potion,Uncommon,Cooking,Emberford,"Emberford potion consumable: valued for its clean burn, often a buff ingredient.",consumable_sturdy_pellet.png
30950,Roughspun Bill,Document,Field Notes,Uncommon,None,Glimmerdeep,"Glimmerdeep field notes document: kept for superstition, often a ritual prop.",document_roughspun_bill.png
30951,Pine-sap Husk,Material,Bone,Common,Engineering,Glimmerdeep,"Glimmerdeep bone material: valued for its clean burn, often a buff ingredient.",material_pine_sap_husk.png
30952,Mossy Scribble,Document,Map Fragment,Common,None,Greatwood,"Greatwood map fragment document: common among dockhands, often a ritual prop.",document_mossy_scribble.png
30953,Harbor-wet Scribble,Document,Letter,Uncommon,None,Hollowroot,"Hollowroot letter document: sought by apprentices, often a map clue.",document_harbor_wet_scribble.png
30954,Briarbound Warrant,Document,Permit,Uncommon,None,Hollowroot,"Hollowroot permit document: stains fingers dark, often a camp utility.",document_briarbound_warrant.png
30955,Worn Pendant of Brine,Gear,Necklace,Uncommon,None,Saltmarrow,"Saltmarrow necklace gear: used in field repairs, often a alchemy base.",gear_worn_pendant_of_brine.png
30956,Harbor-wet Fin,Ingredient,Mushroom,Uncommon,Blacksmithing,Hollowroot,"Hollowroot mushroom ingredient: common among dockhands, often a armor patching.",ingredient_harbor_wet_fin.png
30957,Lanternlit Dispatch,Document,Permit,Common,None,Hollowroot,"Hollowroot permit document: sought by apprentices, often a fishing bait.",document_lanternlit_dispatch.png
30958,Harbor-wet Staff of Brine,Gear,Necklace,Common,Blacksmithing,Saltmarrow,"Saltmarrow necklace gear: favored by local scouts, often a quest turn-in.",gear_harbor_wet_staff_of_brine.png
30959,Worn Stamp,Curio,Mask,Common,None,Saltmarrow,"Saltmarrow mask curio: favored by local scouts, often a armor patching.",curio_worn_stamp.png
30960,Glowcap Berry,Ingredient,Sap,Common,Alchemy,Glimmerdeep,"Glimmerdeep sap ingredient: traded at night markets, often a vendor staple.",ingredient_glowcap_berry.png
30961,Tin-chimed Whistle,Curio,Token,Common,None,Emberford,"Emberford token curio: packed for storms, often a armor patching.",curio_tin_chimed_whistle.png
30962,Ash-dusted Seed,Ingredient,Grain,Uncommon,Alchemy,Greatwood,"Greatwood grain ingredient: packed for storms, often a armor patching.",ingredient_ash_dusted_seed.png
30963,Cedar-scented Memo,Document,Letter,Common,None,Greatwood,"Greatwood letter document: packed for storms, often a map clue.",document_cedar_scented_memo.png
30964,Tin-chimed Bandage Roll,Consumable,Tea,Uncommon,Fishing,Frostbriar,"Frostbriar tea consumable: valued for its clean burn, often a trap component.",consumable_tin_chimed_bandage_roll.png
30965,Mire-touched Cord,Curio,Charm,Common,None,Frostbriar,"Frostbriar charm curio: packed for storms, often a crafting reagent.",curio_mire_touched_cord.png
30966,Tin-chimed Receipt,Document,Permit,Uncommon,None,Greatwood,"Greatwood permit document: carried for long treks, often a map clue.",document_tin_chimed_receipt.png
30967,River-smooth Map Slip,Document,Letter,Uncommon,None,Glimmerdeep,"Glimmerdeep letter document: recommended by old timers, often a alchemy base.",document_river_smooth_map_slip.png
30968,Pine-sap Scrap,Material,Glass,Common,Blacksmithing,Frostbriar,"Frostbriar glass material: common among dockhands, often a camp utility.",material_pine_sap_scrap.png
30969,Windworn Clasp,Material,Bone,Common,None,Glimmerdeep,"Glimmerdeep bone material: used in field repairs, often a buff ingredient.",material_windworn_clasp.png
30970,Soot-black Mace,Gear,Dagger,Common,Woodworking,Saltmarrow,"Saltmarrow dagger gear: traded at night markets, often a salt-proofing aid.",gear_soot_black_mace.png
30971,River-smooth Chit,Curio,Game Piece,Uncommon,None,Glimmerdeep,"Glimmerdeep game piece curio: recommended by old timers, often a camp utility.",curio_river_smooth_chit.png
30972,Harbor-wet Stamp,Curio,Keepsake,Common,None,Hollowroot,"Hollowroot keepsake curio: packed for storms, often a ritual prop.",curio_harbor_wet_stamp.png
30973,Kelp-woven Gloves of Brine,Gear,Mail,Common,Mining,Frostbriar,"Frostbriar mail gear: a staple in cold camps, often a camp utility.",gear_kelp_woven_gloves_of_brine.png
30974,Frostbit Chew,Consumable,Tonic,Rare,Skinning,Hollowroot,"Hollowroot tonic consumable: valued for its clean burn, often a fishing bait.",consumable_frostbit_chew.png
30975,Lanternlit Knot,Ingredient,Spice,Uncommon,Skinning,Glimmerdeep,"Glimmerdeep spice ingredient: favored by local scouts, often a trap component.",ingredient_lanternlit_knot.png
30976,Brine-cured Dispatch,Document,Letter,Common,None,Hollowroot,"Hollowroot letter document: a staple in cold camps, often a trap component.",document_brine_cured_dispatch.png
30977,Kelp-woven Marker,Curio,Mask,Uncommon,None,Emberford,"Emberford mask curio: common among dockhands, often a buff ingredient.",curio_kelp_woven_marker.png
30978,Faded Berry,Ingredient,Tea Leaf,Rare,Woodworking,Frostbriar,"Frostbriar tea leaf ingredient: a staple in cold camps, often a armor patching.",ingredient_faded_berry.png
30979,Silt-grit Needle,Ingredient,Sap,Uncommon,Fishing,Hollowroot,"Hollowroot sap ingredient: kept for superstition, often a armor patching.",ingredient_silt_grit_needle.png
30980,Candle-smoke Token,Curio,Game Piece,Common,None,Emberford,"Emberford game piece curio: used in field repairs, often a camp utility.",curio_candle_smoke_token.png
30981,Silt-grit Bracers of Frost,Gear,Plate,Common,Cooking,Emberford,"Emberford plate gear: traded at night markets, often a alchemy base.",gear_silt_grit_bracers_of_frost.png
30982,Briarbound Thread,Material,Resin,Common,Herbalism,Frostbriar,"Frostbriar resin material: traded at night markets, often a trap component.",material_briarbound_thread.png
30983,Pine-sap Shortsword of the Wharf,Gear,Ring,Uncommon,None,Saltmarrow,"Saltmarrow ring gear: traded at night markets, often a quest turn-in.",gear_pine_sap_shortsword_of_the_wharf.png
30984,Roughspun Liniment,Consumable,Potion,Uncommon,None,Hollowroot,"Hollowroot potion consumable: packed for storms, often a crafting reagent.",consumable_roughspun_liniment.png
30985,Mossy Ration,Consumable,Bandage,Uncommon,Blacksmithing,Emberford,"Emberford bandage consumable: carried for long treks, often a map clue.",consumable_mossy_ration.png
30986,Harbor-wet Wire,Material,Wood,Uncommon,Skinning,Emberford,"Emberford wood material: valued for its clean burn, often a alchemy base.",material_harbor_wet_wire.png
30987,Kelp-woven Voucher,Document,Map Fragment,Uncommon,None,Emberford,"Emberford map fragment document: used in field repairs, often a quest turn-in.",document_kelp_woven_voucher.png
30988,Brine-cured Shield of Frost,Gear,Axe,Common,Blacksmithing,Greatwood,"Greatwood axe gear: used in field repairs, often a buff ingredient.",gear_brine_cured_shield_of_frost.png
30989,Salt-stained Syrup,Consumable,Salve,Common,Enchanting,Emberford,"Emberford salve consumable: carried for long treks, often a trap component.",consumable_salt_stained_syrup.png
30990,Sturdy Tunic of Frost,Gear,Axe,Uncommon,Skinning,Frostbriar,"Frostbriar axe gear: traded at night markets, often a buff ingredient.",gear_sturdy_tunic_of_frost.png
30991,Tin-chimed Buckler of Ember,Gear,Necklace,Common,Blacksmithing,Frostbriar,"Frostbriar necklace gear: kept for superstition, often a quest turn-in.",gear_tin_chimed_buckler_of_ember.png
30992,River-smooth Roster,Document,Map Fragment,Rare,None,Emberford,"Emberford map fragment document: a staple in cold camps, often a vendor staple.",document_river_smooth_roster.png
30993,Mire-touched Helm of Silt,Gear,Dagger,Uncommon,Herbalism,Frostbriar,"Frostbriar dagger gear: used in field repairs, often a crafting reagent.",gear_mire_touched_helm_of_silt.png
30994,Frostbit Infusion,Consumable,Food,Uncommon,Alchemy,Saltmarrow,"Saltmarrow food consumable: kept for superstition, often a map clue.",consumable_frostbit_infusion.png
30995,Windworn Figurine,Curio,Charm,Uncommon,None,Frostbriar,"Frostbriar charm curio: traded at night markets, often a trap component.",curio_windworn_figurine.png
30996,Faded Syrup,Consumable,Tonic,Uncommon,Skinning,Greatwood,"Greatwood tonic consumable: packed for storms, often a ritual prop.",consumable_faded_syrup.png
30997,Cedar-scented Cap,Ingredient,Tea Leaf,Common,Skinning,Glimmerdeep,"Glimmerdeep tea leaf ingredient: used in field repairs, often a crafting reagent.",ingredient_cedar_scented_cap.png
30998,Sturdy Pin,Curio,Sample Jar,Common,None,Greatwood,"Greatwood sample jar curio: kept for superstition, often a salt-proofing aid.",curio_sturdy_pin.png
30999,Salt-stained Scrap,Material,Ore,Uncommon,Blacksmithing,Frostbriar,"Frostbriar ore material: a staple in cold camps, often a vendor staple.",material_salt_stained_scrap.png
31000,Cedar-scented Chew,Consumable,Tea,Uncommon,Woodworking,Hollowroot,"Hollowroot tea consumable: stains fingers dark, often a map clue.",consumable_cedar_scented_chew.png
31001,Roughspun Scale,Ingredient,Insect,Rare,None,Glimmerdeep,"Glimmerdeep insect ingredient: recommended by old timers, often a camp utility.",ingredient_roughspun_scale.png
31002,Cedar-scented Clasp,Material,Ore,Uncommon,Alchemy,Hollowroot,"Hollowroot ore material: packed for storms, often a vendor staple.",material_cedar_scented_clasp.png
31003,Harbor-wet Cap,Ingredient,Sap,Common,Mining,Glimmerdeep,"Glimmerdeep sap ingredient: stains fingers dark, often a crafting reagent.",ingredient_harbor_wet_cap.png
31004,Windworn Sprig,Ingredient,Tea Leaf,Common,Enchanting,Greatwood,"Greatwood tea leaf ingredient: common among dockhands, often a quest turn-in.",ingredient_windworn_sprig.png
31005,Sturdy Buckler of Silt,Gear,Staff,Common,Cooking,Frostbriar,"Frostbriar staff gear: stains fingers dark, often a vendor staple.",gear_sturdy_buckler_of_silt.png
31006,Ash-dusted Pod,Ingredient,Fish,Uncommon,Engineering,Saltmarrow,"Saltmarrow fish ingredient: kept for superstition, often a armor patching.",ingredient_ash_dusted_pod.png
31007,Roughspun Slab,Material,Stone,Common,Fishing,Frostbriar,"Frostbriar stone material: common among dockhands, often a armor patching.",material_roughspun_slab.png
31008,Harbor-wet Thread,Material,Bone,Uncommon,Fishing,Glimmerdeep,"Glimmerdeep bone material: smells faintly of cedar, often a alchemy base.",material_harbor_wet_thread.png
31009,Worn Tonic,Consumable,Oil,Common,Enchanting,Emberford,"Emberford oil consumable: smells faintly of cedar, often a vendor staple.",consumable_worn_tonic.png
31010,Pine-sap Petal,Ingredient,Sap,Common,Alchemy,Frostbriar,"Frostbriar sap ingredient: favored by local scouts, often a vendor staple.",ingredient_pine_sap_petal.png
31011,Kelp-woven Stone,Curio,Sample Jar,Uncommon,None,Hollowroot,"Hollowroot sample jar curio: smells faintly of cedar, often a quest turn-in.",curio_kelp_woven_stone.png
31012,Salt-stained Whistle,Curio,Charm,Uncommon,None,Frostbriar,"Frostbriar charm curio: packed for storms, often a buff ingredient.",curio_salt_stained_whistle.png
31013,Frostbit Wire,Material,Wood,Common,Skinning,Greatwood,"Greatwood wood material: a staple in cold camps, often a ritual prop.",material_frostbit_wire.png
31014,Faded Chew,Consumable,Tea,Common,Engineering,Saltmarrow,"Saltmarrow tea consumable: rings softly when shaken, often a alchemy base.",consumable_faded_chew.png
31015,Cedar-scented Biscuit,Consumable,Tea,Common,Enchanting,Saltmarrow,"Saltmarrow tea consumable: kept for superstition, often a vendor staple.",consumable_cedar_scented_biscuit.png
31016,Brine-cured Biscuit,Consumable,Tonic,Uncommon,Blacksmithing,Frostbriar,"Frostbriar tonic consumable: traded at night markets, often a salt-proofing aid.",consumable_brine_cured_biscuit.png
31017,Roughspun Sash of the Trail,Gear,Leather,Common,Skinning,Glimmerdeep,"Glimmerdeep leather gear: sought by apprentices, often a crafting reagent.",gear_roughspun_sash_of_the_trail.png
31018,Silt-grit Cord,Curio,Keepsake,Common,None,Saltmarrow,"Saltmarrow keepsake curio: valued for its clean burn, often a ritual prop.",curio_silt_grit_cord.png
31019,River-smooth Note,Document,Field Notes,Common,None,Hollowroot,"Hollowroot field notes document: valued for its clean burn, often a buff ingredient.",document_river_smooth_note.png
31020,Harbor-wet Gland,Ingredient,Root,Rare,Engineering,Greatwood,"Greatwood root ingredient: traded at night markets, often a vendor staple.",ingredient_harbor_wet_gland.png
