id,name,category,subcategory,rarity,professions,region,short_uses,file_name
58673,Bramble Seal 58673,Key,Salt Key,Common,Jewelry,Duskhollow bogs,Basic key used for side doors and caches.,item_58673.png
58674,Pilgrim's Fillet 58674,World Object,Totem,Uncommon,Alchemy,Deepwatch,Placeable/interactive world piece for events.,item_58674.png
58675,Glimmering Talisman 58675,Consumable,Food,Common,Fishing,Ashen Ridge terraces,Everyday field supply that reduces downtime.,item_58675.png
58676,Oathforged Lantern 58676,Quest,Quest Item,Common,Leatherworking,Glimmerdeep canals,Objective item for contracts and errands.,item_58676.png
58677,Ashen Rivet 58677,Key,Iron Key,Common,Enchanting,Ashen Ridge terraces,Basic key used for side doors and caches.,item_58677.png
58678,Oathforged Spice 58678,Curio,Token,Common,Tailoring,Emberford outskirts,Flavor drop that feeds quests vendors and collectors.,item_58678.png
58679,Pilgrim's Buckle 58679,Trinket,Charm,Common,Jewelry,Frostbriar trails,Minor passive charm with low-power utility.,item_58679.png
58680,Hearthworn Lantern 58680,Profession Tool,Tailor Kit,Uncommon,Cooking,Emberford markets,Starter kit enabling profession actions.,item_58680.png
58681,Mireborn Token 58681,Document,Notice,Uncommon,Cooking,Glimmerdeep canals,Readable lore drop that hints at routes and secrets.,item_58681.png
58682,Cinder Charm 58682,Consumable,Scroll,Common,Jewelry,Frost Caverns,Everyday field supply that reduces downtime.,item_58682.png
58683,Lanternlit Knife 58683,Key,Copper Key,Common,Smithing,Bramblefold hedges,Basic key used for side doors and caches.,item_58683.png
58684,Lanternlit Stitch 58684,Quest,Quest Item,Common,Cooking,Glimmerdeep canals,Objective item for contracts and errands.,item_58684.png
58685,Warden's Fillet 58685,Trinket,Sigil,Common,Enchanting,Bramblefold hedges,Minor passive charm with low-power utility.,item_58685.png
58686,Ashen Charm 58686,Material,Glass,Uncommon,Alchemy,Glimmerdeep canals,Core trade material used in many early recipes.,item_58686.png
58687,Stormkissed Seal 58687,Consumable,Salve,Rare,None,Frost Caverns,Everyday field supply that reduces downtime.,item_58687.png
58688,Rivercut Needle 58688,Material,Cloth Bolt,Common,Engineering,Bramblefold hedges,Core trade material used in many early recipes.,item_58688.png
58689,Lanternlit Token 58689,World Object,Cairn,Common,Fishing,Bramblefold hedges,Placeable/interactive world piece for events.,item_58689.png
58690,Pilgrim's Buckle 58690,Document,Map Scrap,Uncommon,Cooking,Emberford outskirts,Readable lore drop that hints at routes and secrets.,item_58690.png
58691,Dusk Cairn 58691,Profession Tool,Alchemy Kit,Uncommon,Herbalism,Emberford outskirts,Starter kit enabling profession actions.,item_58691.png
58692,Glimmering Brew 58692,Map,Harbor Chart,Uncommon,Enchanting,Emberford outskirts,Simple navigation aid that points to micro-locations.,item_58692.png
58693,Cinder Needle 58693,Map,Trail Map,Common,Leatherworking,Bramblefold hedges,Simple navigation aid that points to micro-locations.,item_58693.png
58694,Mireborn Stitch 58694,Trophy,Scale,Uncommon,Alchemy,Frostbriar trails,Monster proof used for bounties and turn-ins.,item_58694.png
58695,Warden's Talisman Axe 58695,Gear,Axe,Uncommon,Leatherworking,Saltmarrow strand,Baseline leveling piece with steady stats and simple flavor.,item_58695.png
58696,Saltstained Balm 58696,Profession Tool,Cooking Kit,Common,Leatherworking,Glimmerdeep canals,Starter kit enabling profession actions.,item_58696.png
58697,Warden's Buckle 58697,Key,Iron Key,Common,Herbalism,Emberford markets,Basic key used for side doors and caches.,item_58697.png
58698,Rivercut Needle 58698,Ingredient,Grain,Uncommon,Fishing,Emberford markets,Common crafting input used across cooking and alchemy.,item_58698.png
58699,Cinder Ink 58699,Quest,Quest Item,Common,Fishing,Bramblefold hedges,Objective item for contracts and errands.,item_58699.png
58700,Mireborn Band Vest 58700,Gear,Leather Vest,Uncommon,Alchemy,Saltmarrow tidepools,Baseline leveling piece with steady stats and simple flavor.,item_58700.png
58701,Dusk Carving 58701,Toy,Whistle,Uncommon,Enchanting,Glimmerdeep canals,Harmless fun item with small social value.,item_58701.png
58702,Bramble Token 58702,Profession Tool,Leather Kit,Common,Leatherworking,Bramblefold hedges,Starter kit enabling profession actions.,item_58702.png
58703,Saltstained Shard 58703,Alchemy,Essence,Common,Tailoring,Duskhollow bogs,Reliable reagent for low to mid-tier mixtures.,item_58703.png
58704,Warden's Rivet 58704,Quest,Quest Item,Uncommon,Leatherworking,Frost Caverns,Objective item for contracts and errands.,item_58704.png
58705,Bramble Stitch 58705,Trophy,Claw,Uncommon,Alchemy,Duskhollow bogs,Monster proof used for bounties and turn-ins.,item_58705.png
58706,Glimmering Spice 58706,Key,Salt Key,Common,Fishing,Emberford outskirts,Basic key used for side doors and caches.,item_58706.png
58707,Market Brew 58707,Ingredient,Meat,Uncommon,Leatherworking,Glimmerdeep shore,Common crafting input used across cooking and alchemy.,item_58707.png
58708,Bramble Band 58708,Profession Tool,Smith Kit,Common,Leatherworking,Glimmerdeep canals,Starter kit enabling profession actions.,item_58708.png
58709,Saltstained Balm 58709,Trinket,Sigil,Common,None,Glimmerdeep canals,Minor passive charm with low-power utility.,item_58709.png
58710,Saltstained Knife 58710,Tool,Chisel,Uncommon,Fishing,Frostbriar trails,Utility item for travel salvage and exploration.,item_58710.png
58711,Oathforged Rivet 58711,Ingredient,Fish,Common,Alchemy,Ashen Ridge terraces,Common crafting input used across cooking and alchemy.,item_58711.png
58712,Pilgrim's Ink 58712,Quest,Quest Item,Common,Alchemy,Ashen Ridge terraces,Objective item for contracts and errands.,item_58712.png
58713,Stormkissed Seal 58713,Map,Cave Map,Common,Enchanting,Ashen Ridge terraces,Simple navigation aid that points to micro-locations.,item_58713.png
58714,Lanternlit Lantern 58714,Profession Tool,Fishing Kit,Common,Cooking,Ashen Ridge terraces,Starter kit enabling profession actions.,item_58714.png
58715,Ashen Knife 58715,Map,Cave Map,Uncommon,Cooking,Emberford outskirts,Simple navigation aid that points to micro-locations.,item_58715.png
58716,Hearthworn Stitch 58716,Curio,Charm,Common,Alchemy,Ashen Ridge terraces,Flavor drop that feeds quests vendors and collectors.,item_58716.png
58717,Rivercut Ration 58717,Profession Tool,Tailor Kit,Common,Enchanting,Frost Caverns,Starter kit enabling profession actions.,item_58717.png
58718,Cinder Charm Axe 58718,Gear,Axe,Common,Jewelry,Saltmarrow strand,Baseline leveling piece with steady stats and simple flavor.,item_58718.png
58719,Glimmering Talisman 58719,Quest,Quest Item,Uncommon,Engineering,Duskhollow bogs,Objective item for contracts and errands.,item_58719.png
58720,Cinder Compass Trinket 58720,Gear,Trinket,Uncommon,Smithing,Ashen Ridge terraces,Baseline leveling piece with steady stats and simple flavor.,item_58720.png
58721,Warden's Tonic 58721,Alchemy,Reagent,Common,Tailoring,Glimmerdeep shore,Reliable reagent for low to mid-tier mixtures.,item_58721.png
58722,Glimmering Compass 58722,World Object,Marker,Common,Herbalism,Ashen Ridge terraces,Placeable/interactive world piece for events.,item_58722.png
58723,Oathforged Balm 58723,Consumable,Potion,Common,Jewelry,Emberford markets,Everyday field supply that reduces downtime.,item_58723.png
58724,Pilgrim's Lantern 58724,Quest,Quest Item,Common,Jewelry,Glimmerdeep shore,Objective item for contracts and errands.,item_58724.png
58725,Cinder Carving 58725,Tool,Lockpick,Uncommon,Enchanting,Emberford outskirts,Utility item for travel salvage and exploration.,item_58725.png
58726,Dusk Totem 58726,Trophy,Scale,Common,Engineering,Saltmarrow tidepools,Monster proof used for bounties and turn-ins.,item_58726.png
58727,Glimmering Knife 58727,Material,Ingot,Common,Cooking,Saltmarrow strand,Core trade material used in many early recipes.,item_58727.png
58728,Oathforged Cog 58728,World Object,Marker,Common,Jewelry,Saltmarrow tidepools,Placeable/interactive world piece for events.,item_58728.png
58729,Cinder Cairn 58729,Curio,Oddity,Uncommon,Fishing,Frost Caverns,Flavor drop that feeds quests vendors and collectors.,item_58729.png
58730,Hearthworn Tonic 58730,Toy,Whistle,Common,Herbalism,Duskhollow bogs,Harmless fun item with small social value.,item_58730.png
58731,Frostbound Knot 58731,Toy,Spin Top,Common,Herbalism,Saltmarrow strand,Harmless fun item with small social value.,item_58731.png
58732,Mireborn Token 58732,Document,Prayer Slip,Uncommon,Tailoring,Emberford outskirts,Readable lore drop that hints at routes and secrets.,item_58732.png
58733,Bramble Token 58733,Toy,Spin Top,Common,Alchemy,Duskhollow bogs,Harmless fun item with small social value.,item_58733.png
58734,Bramble Talisman 58734,Document,Letter,Common,Mining,Deepwatch,Readable lore drop that hints at routes and secrets.,item_58734.png
58735,Ashen Seal 58735,Map,Cave Map,Uncommon,Tailoring,Deepwatch,Simple navigation aid that points to micro-locations.,item_58735.png
58736,Stormkissed Pike 58736,Consumable,Potion,Common,Enchanting,Ashen Ridge terraces,Everyday field supply that reduces downtime.,item_58736.png
58737,Saltstained Buckle 58737,Toy,Spin Top,Rare,Alchemy,Ashen Ridge terraces,Harmless fun item with small social value.,item_58737.png
58738,Ashen Pouch 58738,Trophy,Fang,Common,None,Frostbriar trails,Monster proof used for bounties and turn-ins.,item_58738.png
58739,Market Carving 58739,Trophy,Claw,Common,Jewelry,Deepwatch,Monster proof used for bounties and turn-ins.,item_58739.png
58740,Ashen Lantern 58740,Document,Letter,Common,Smithing,Bramblefold hedges,Readable lore drop that hints at routes and secrets.,item_58740.png
58741,Oathforged Hook 58741,Key,Iron Key,Uncommon,Cooking,Emberford markets,Basic key used for side doors and caches.,item_58741.png
58742,Frostbound Lantern Boots 58742,Gear,Leather Boots,Uncommon,Jewelry,Ashen Ridge terraces,Baseline leveling piece with steady stats and simple flavor.,item_58742.png
58743,Ashen Knife 58743,Key,Bone Key,Common,Mining,Emberford markets,Basic key used for side doors and caches.,item_58743.png
58744,Cinder Charm 58744,Material,Cloth Bolt,Common,Alchemy,Deepwatch,Core trade material used in many early recipes.,item_58744.png
58745,Oathforged Buckle 58745,Key,Iron Key,Common,Jewelry,Ashen Ridge terraces,Basic key used for side doors and caches.,item_58745.png
58746,Hearthworn Cairn 58746,Profession Tool,Fishing Kit,Uncommon,Alchemy,Saltmarrow tidepools,Starter kit enabling profession actions.,item_58746.png
58747,Frostbound Band 58747,Toy,Spin Top,Common,Leatherworking,Glimmerdeep canals,Harmless fun item with small social value.,item_58747.png
58748,Warden's Charm 58748,Trophy,Fang,Common,Fishing,Glimmerdeep shore,Monster proof used for bounties and turn-ins.,item_58748.png
58749,Glimmering Ink Axe 58749,Gear,Axe,Uncommon,Leatherworking,Frost Caverns,Baseline leveling piece with steady stats and simple flavor.,item_58749.png
58750,Mireborn Charm 58750,Ingredient,Berry,Uncommon,Herbalism,Glimmerdeep shore,Common crafting input used across cooking and alchemy.,item_58750.png
58751,Dusk Shard 58751,Profession Tool,Cooking Kit,Common,Tailoring,Glimmerdeep canals,Starter kit enabling profession actions.,item_58751.png
58752,Frostbound Hook 58752,Material,Stone Block,Common,Tailoring,Emberford outskirts,Core trade material used in many early recipes.,item_58752.png
58753,Mireborn Ink 58753,Trophy,Fang,Uncommon,Enchanting,Glimmerdeep shore,Monster proof used for bounties and turn-ins.,item_58753.png
58754,Oathforged Spice 58754,Profession Tool,Cooking Kit,Common,None,Saltmarrow tidepools,Starter kit enabling profession actions.,item_58754.png
58755,Stormkissed Spice 58755,Map,Harbor Chart,Rare,None,Deepwatch,Simple navigation aid that points to micro-locations.,item_58755.png
58756,Hearthworn Cairn 58756,Profession Tool,Tailor Kit,Rare,Tailoring,Frost Caverns,Starter kit enabling profession actions.,item_58756.png
58757,Rivercut Hook 58757,Consumable,Scroll,Common,Smithing,Frostbriar trails,Everyday field supply that reduces downtime.,item_58757.png
58758,Oathforged Hook 58758,Map,Cave Map,Common,None,Glimmerdeep canals,Simple navigation aid that points to micro-locations.,item_58758.png
58759,Cinder Buckle 58759,Profession Tool,Alchemy Kit,Uncommon,None,Frost Caverns,Starter kit enabling profession actions.,item_58759.png
58760,Market Stitch 58760,Quest,Quest Item,Uncommon,Leatherworking,Ashen Ridge terraces,Objective item for contracts and errands.,item_58760.png
58761,Warden's Band 58761,Key,Bone Key,Rare,Cooking,Glimmerdeep canals,Basic key used for side doors and caches.,item_58761.png
58762,Cinder Totem 58762,Key,Bone Key,Common,Cooking,Bramblefold hedges,Basic key used for side doors and caches.,item_58762.png
58763,Market Spice 58763,Curio,Oddity,Common,Jewelry,Ashen Ridge terraces,Flavor drop that feeds quests vendors and collectors.,item_58763.png
58764,Lanternlit Ration 58764,Tool,Chisel,Common,None,Emberford markets,Utility item for travel salvage and exploration.,item_58764.png
58765,Mireborn Rivet 58765,Tool,Hammer,Rare,Engineering,Frostbriar trails,Utility item for travel salvage and exploration.,item_58765.png
58766,Pilgrim's Skein 58766,Alchemy,Reagent,Common,Leatherworking,Glimmerdeep shore,Reliable reagent for low to mid-tier mixtures.,item_58766.png
58767,Ashen Cog 58767,Toy,Spin Top,Common,Fishing,Deepwatch,Harmless fun item with small social value.,item_58767.png
58768,Saltstained Knot 58768,Document,Letter,Uncommon,Fishing,Saltmarrow tidepools,Readable lore drop that hints at routes and secrets.,item_58768.png
58769,Glimmering Shard Robe 58769,Gear,Cloth Robe,Rare,Herbalism,Saltmarrow strand,Baseline leveling piece with steady stats and simple flavor.,item_58769.png
58770,Cinder Charm 58770,Trophy,Claw,Common,Mining,Saltmarrow tidepools,Monster proof used for bounties and turn-ins.,item_58770.png
58771,Cinder Talisman 58771,Ingredient,Herb,Common,None,Saltmarrow tidepools,Common crafting input used across cooking and alchemy.,item_58771.png
58772,Glimmering Shard 58772,Trinket,Charm,Common,Jewelry,Ashen Ridge terraces,Minor passive charm with low-power utility.,item_58772.png
58773,Stormkissed Stitch 58773,Quest,Quest Item,Common,Mining,Frost Caverns,Objective item for contracts and errands.,item_58773.png
58774,Stormkissed Knot 58774,Alchemy,Essence,Common,Engineering,Deepwatch,Reliable reagent for low to mid-tier mixtures.,item_58774.png
58775,Mireborn Rivet 58775,World Object,Cairn,Common,Jewelry,Emberford markets,Placeable/interactive world piece for events.,item_58775.png
58776,Hearthworn Stitch 58776,Alchemy,Catalyst,Common,Leatherworking,Saltmarrow tidepools,Reliable reagent for low to mid-tier mixtures.,item_58776.png
58777,Oathforged Spice 58777,World Object,Cache,Common,Alchemy,Emberford outskirts,Placeable/interactive world piece for events.,item_58777.png
58778,Warden's Pouch 58778,Trinket,Sigil,Rare,Herbalism,Glimmerdeep shore,Minor passive charm with low-power utility.,item_58778.png
58779,Saltstained Lantern 58779,Tool,Torch,Common,Enchanting,Bramblefold hedges,Utility item for travel salvage and exploration.,item_58779.png
58780,Saltstained Cog 58780,Tool,Compass,Common,Cooking,Emberford outskirts,Utility item for travel salvage and exploration.,item_58780.png
58781,Lanternlit Ledger 58781,Consumable,Bandage,Common,Leatherworking,Emberford markets,Everyday field supply that reduces downtime.,item_58781.png
58782,Hearthworn Ink 58782,Document,Field Note,Common,Enchanting,Frost Caverns,Readable lore drop that hints at routes and secrets.,item_58782.png
58783,Oathforged Hook 58783,Document,Ledger,Common,Jewelry,Saltmarrow strand,Readable lore drop that hints at routes and secrets.,item_58783.png
58784,Warden's Spice 58784,Toy,Whistle,Uncommon,Alchemy,Emberford outskirts,Harmless fun item with small social value.,item_58784.png
58785,Lanternlit Ink Staff 58785,Gear,Staff,Common,Smithing,Glimmerdeep shore,Baseline leveling piece with steady stats and simple flavor.,item_58785.png
58786,Oathforged Tonic 58786,Key,Salt Key,Common,Jewelry,Saltmarrow strand,Basic key used for side doors and caches.,item_58786.png
58787,Ashen Buckle 58787,Ingredient,Root,Rare,Cooking,Emberford outskirts,Common crafting input used across cooking and alchemy.,item_58787.png
58788,Dusk Totem 58788,Alchemy,Catalyst,Rare,Enchanting,Emberford outskirts,Reliable reagent for low to mid-tier mixtures.,item_58788.png
58789,Pilgrim's Hook 58789,Key,Iron Key,Rare,Mining,Duskhollow bogs,Basic key used for side doors and caches.,item_58789.png
58790,Oathforged Stitch 58790,World Object,Marker,Uncommon,Herbalism,Frost Caverns,Placeable/interactive world piece for events.,item_58790.png
58791,Lanternlit Skein 58791,Document,Prayer Slip,Common,None,Ashen Ridge terraces,Readable lore drop that hints at routes and secrets.,item_58791.png
58792,Frostbound Shard 58792,Material,Glass,Common,Enchanting,Saltmarrow strand,Core trade material used in many early recipes.,item_58792.png
58793,Hearthworn Cog 58793,Trophy,Claw,Common,Fishing,Bramblefold hedges,Monster proof used for bounties and turn-ins.,item_58793.png
58794,Lanternlit Cairn 58794,Trinket,Stone,Common,Mining,Bramblefold hedges,Minor passive charm with low-power utility.,item_58794.png
58795,Lanternlit Ration 58795,Material,Stone Block,Common,Smithing,Duskhollow bogs,Core trade material used in many early recipes.,item_58795.png
58796,Bramble Totem 58796,Quest,Quest Item,Common,Jewelry,Emberford outskirts,Objective item for contracts and errands.,item_58796.png
58797,Mireborn Spice 58797,Trinket,Sigil,Common,Mining,Deepwatch,Minor passive charm with low-power utility.,item_58797.png
58798,Pilgrim's Tonic 58798,Document,Ledger,Common,Smithing,Emberford markets,Readable lore drop that hints at routes and secrets.,item_58798.png
58799,Cinder Stitch 58799,World Object,Cache,Common,Mining,Emberford outskirts,Placeable/interactive world piece for events.,item_58799.png
58800,Rivercut Stitch Shield 58800,Gear,Shield,Common,Engineering,Bramblefold hedges,Baseline leveling piece with steady stats and simple flavor.,item_58800.png
58801,Oathforged Spice 58801,Curio,Charm,Uncommon,Tailoring,Frostbriar trails,Flavor drop that feeds quests vendors and collectors.,item_58801.png
58802,Pilgrim's Carving 58802,Tool,Rope,Uncommon,Engineering,Deepwatch,Utility item for travel salvage and exploration.,item_58802.png
58803,Saltstained Needle 58803,Consumable,Tea,Rare,Engineering,Emberford outskirts,Everyday field supply that reduces downtime.,item_58803.png
58804,Bramble Spice 58804,Map,Ruin Sketch,Common,Enchanting,Emberford markets,Simple navigation aid that points to micro-locations.,item_58804.png
58805,Hearthworn Cog 58805,Profession Tool,Jeweler Kit,Common,Alchemy,Duskhollow bogs,Starter kit enabling profession actions.,item_58805.png
58806,Cinder Spice Shield 58806,Gear,Shield,Uncommon,Engineering,Ashen Ridge terraces,Baseline leveling piece with steady stats and simple flavor.,item_58806.png
58807,Cinder Lantern 58807,Map,Cave Map,Common,Leatherworking,Ashen Ridge terraces,Simple navigation aid that points to micro-locations.,item_58807.png
58808,Saltstained Charm 58808,Key,Copper Key,Common,Leatherworking,Bramblefold hedges,Basic key used for side doors and caches.,item_58808.png
58809,Ashen Carving 58809,Document,Map Scrap,Common,Herbalism,Bramblefold hedges,Readable lore drop that hints at routes and secrets.,item_58809.png
58810,Rivercut Lantern 58810,Quest,Quest Item,Common,Jewelry,Saltmarrow tidepools,Objective item for contracts and errands.,item_58810.png
58811,Frostbound Gizmo 58811,Ingredient,Spice,Common,Enchanting,Ashen Ridge terraces,Common crafting input used across cooking and alchemy.,item_58811.png
58812,Glimmering Skein 58812,Material,Oil,Common,Tailoring,Frostbriar trails,Core trade material used in many early recipes.,item_58812.png
58813,Dusk Seal 58813,Alchemy,Distillate,Uncommon,Mining,Glimmerdeep shore,Reliable reagent for low to mid-tier mixtures.,item_58813.png
58814,Frostbound Cog 58814,Key,Copper Key,Common,Jewelry,Deepwatch,Basic key used for side doors and caches.,item_58814.png
58815,Market Cog 58815,Material,Oil,Common,Fishing,Duskhollow bogs,Core trade material used in many early recipes.,item_58815.png
58816,Lanternlit Skein 58816,Trophy,Scale,Common,Fishing,Saltmarrow strand,Monster proof used for bounties and turn-ins.,item_58816.png
58817,Market Ration 58817,Trophy,Claw,Common,Cooking,Glimmerdeep shore,Monster proof used for bounties and turn-ins.,item_58817.png
58818,Ashen Cog 58818,Tool,Hammer,Common,Jewelry,Emberford outskirts,Utility item for travel salvage and exploration.,item_58818.png
58819,Ashen Tonic 58819,World Object,Cache,Uncommon,Jewelry,Bramblefold hedges,Placeable/interactive world piece for events.,item_58819.png
58820,Oathforged Cairn 58820,Alchemy,Reagent,Common,Fishing,Saltmarrow tidepools,Reliable reagent for low to mid-tier mixtures.,item_58820.png
58821,Mireborn Brew 58821,Map,Harbor Chart,Uncommon,Smithing,Saltmarrow strand,Simple navigation aid that points to micro-locations.,item_58821.png
58822,Cinder Compass 58822,Curio,Relic,Common,None,Saltmarrow tidepools,Flavor drop that feeds quests vendors and collectors.,item_58822.png
58823,Glimmering Tonic 58823,Tool,Saw,Common,Enchanting,Saltmarrow strand,Utility item for travel salvage and exploration.,item_58823.png
58824,Bramble Needle 58824,World Object,Cache,Uncommon,Fishing,Glimmerdeep canals,Placeable/interactive world piece for events.,item_58824.png
58825,Glimmering Ration Robe 58825,Gear,Cloth Robe,Uncommon,Herbalism,Ashen Ridge terraces,Baseline leveling piece with steady stats and simple flavor.,item_58825.png
58826,Lanternlit Knife 58826,Document,Prayer Slip,Rare,Jewelry,Emberford outskirts,Readable lore drop that hints at routes and secrets.,item_58826.png
58827,Ashen Ledger 58827,Quest,Quest Item,Uncommon,Jewelry,Saltmarrow strand,Objective item for contracts and errands.,item_58827.png
58828,Cinder Needle 58828,Profession Tool,Fishing Kit,Uncommon,Jewelry,Emberford markets,Starter kit enabling profession actions.,item_58828.png
58829,Cinder Ration 58829,Material,Thread,Uncommon,Herbalism,Glimmerdeep shore,Core trade material used in many early recipes.,item_58829.png
58830,Warden's Compass 58830,Trophy,Horn,Uncommon,Jewelry,Bramblefold hedges,Monster proof used for bounties and turn-ins.,item_58830.png
58831,Saltstained Knife 58831,Ingredient,Root,Common,Leatherworking,Duskhollow bogs,Common crafting input used across cooking and alchemy.,item_58831.png
58832,Lanternlit Ink 58832,Curio,Trinket Bit,Common,Mining,Duskhollow bogs,Flavor drop that feeds quests vendors and collectors.,item_58832.png
58833,Stormkissed Gizmo 58833,Tool,Knife,Common,Fishing,Emberford outskirts,Utility item for travel salvage and exploration.,item_58833.png
58834,Bramble Pike 58834,Consumable,Tea,Common,Fishing,Glimmerdeep canals,Everyday field supply that reduces downtime.,item_58834.png
58835,Rivercut Lantern 58835,Toy,Dice,Uncommon,Jewelry,Glimmerdeep canals,Harmless fun item with small social value.,item_58835.png
58836,Lanternlit Lantern 58836,Alchemy,Distillate,Uncommon,None,Glimmerdeep canals,Reliable reagent for low to mid-tier mixtures.,item_58836.png
58837,Rivercut Totem 58837,Map,Ruin Sketch,Rare,Enchanting,Frostbriar trails,Simple navigation aid that points to micro-locations.,item_58837.png
58838,Glimmering Rivet 58838,World Object,Totem,Uncommon,Cooking,Duskhollow bogs,Placeable/interactive world piece for events.,item_58838.png
58839,Oathforged Band 58839,Quest,Quest Item,Common,Mining,Frostbriar trails,Objective item for contracts and errands.,item_58839.png
58840,Cinder Talisman Wand 58840,Gear,Wand,Rare,Enchanting,Glimmerdeep shore,Baseline leveling piece with steady stats and simple flavor.,item_58840.png
58841,Cinder Balm 58841,Document,Notice,Common,Leatherworking,Emberford markets,Readable lore drop that hints at routes and secrets.,item_58841.png
58842,Hearthworn Shard 58842,Map,Ruin Sketch,Common,Cooking,Frost Caverns,Simple navigation aid that points to micro-locations.,item_58842.png
58843,Dusk Lantern 58843,Consumable,Salve,Common,Enchanting,Duskhollow bogs,Everyday field supply that reduces downtime.,item_58843.png
58844,Oathforged Pouch 58844,Consumable,Food,Common,Leatherworking,Ashen Ridge terraces,Everyday field supply that reduces downtime.,item_58844.png
58845,Cinder Balm Bow 58845,Gear,Bow,Common,Herbalism,Deepwatch,Baseline leveling piece with steady stats and simple flavor.,item_58845.png
58846,Hearthworn Ledger 58846,Key,Iron Key,Common,Alchemy,Deepwatch,Basic key used for side doors and caches.,item_58846.png
58847,Mireborn Skein 58847,Map,Trail Map,Uncommon,Jewelry,Emberford markets,Simple navigation aid that points to micro-locations.,item_58847.png
58848,Dusk Lantern 58848,Key,Salt Key,Common,Alchemy,Glimmerdeep shore,Basic key used for side doors and caches.,item_58848.png
58849,Rivercut Spice Bracers 58849,Gear,Plate Bracers,Uncommon,Enchanting,Glimmerdeep shore,Baseline leveling piece with steady stats and simple flavor.,item_58849.png
58850,Mireborn Brew 58850,Consumable,Tea,Rare,Smithing,Glimmerdeep canals,Everyday field supply that reduces downtime.,item_58850.png
58851,Pilgrim's Needle 58851,Trinket,Sigil,Common,Herbalism,Frostbriar trails,Minor passive charm with low-power utility.,item_58851.png
58852,Lanternlit Carving Bow 58852,Gear,Bow,Uncommon,Alchemy,Ashen Ridge terraces,Baseline leveling piece with steady stats and simple flavor.,item_58852.png
58853,Saltstained Knot 58853,Material,Dye,Common,Leatherworking,Glimmerdeep shore,Core trade material used in many early recipes.,item_58853.png
58854,Cinder Needle 58854,Alchemy,Essence,Common,Tailoring,Duskhollow bogs,Reliable reagent for low to mid-tier mixtures.,item_58854.png
58855,Stormkissed Pouch 58855,Ingredient,Fish,Common,Cooking,Emberford markets,Common crafting input used across cooking and alchemy.,item_58855.png
58856,Mireborn Shard 58856,Material,Ingot,Common,Enchanting,Frostbriar trails,Core trade material used in many early recipes.,item_58856.png
58857,Glimmering Ration 58857,Key,Salt Key,Uncommon,Mining,Deepwatch,Basic key used for side doors and caches.,item_58857.png
58858,Ashen Seal 58858,Curio,Figurine,Uncommon,Jewelry,Glimmerdeep shore,Flavor drop that feeds quests vendors and collectors.,item_58858.png
58859,Rivercut Carving 58859,Curio,Oddity,Common,Tailoring,Ashen Ridge terraces,Flavor drop that feeds quests vendors and collectors.,item_58859.png
58860,Ashen Tonic 58860,Ingredient,Sap,Rare,None,Emberford outskirts,Common crafting input used across cooking and alchemy.,item_58860.png
58861,Warden's Ledger 58861,Material,Thread,Common,Engineering,Frostbriar trails,Core trade material used in many early recipes.,item_58861.png
58862,Hearthworn Talisman 58862,Profession Tool,Leather Kit,Common,Alchemy,Saltmarrow strand,Starter kit enabling profession actions.,item_58862.png
58863,Oathforged Talisman 58863,Map,Cave Map,Common,Mining,Deepwatch,Simple navigation aid that points to micro-locations.,item_58863.png
58864,Hearthworn Token 58864,Consumable,Powder,Uncommon,None,Saltmarrow tidepools,Everyday field supply that reduces downtime.,item_58864.png
58865,Dusk Fillet 58865,Map,Harbor Chart,Common,Mining,Ashen Ridge terraces,Simple navigation aid that points to micro-locations.,item_58865.png
58866,Dusk Totem 58866,Material,Thread,Rare,Enchanting,Deepwatch,Core trade material used in many early recipes.,item_58866.png
58867,Stormkissed Shard Staff 58867,Gear,Staff,Common,Jewelry,Deepwatch,Baseline leveling piece with steady stats and simple flavor.,item_58867.png
58868,Rivercut Hook 58868,Trinket,Stone,Uncommon,Tailoring,Frostbriar trails,Minor passive charm with low-power utility.,item_58868.png
58869,Glimmering Talisman 58869,Map,Trail Map,Common,Cooking,Saltmarrow tidepools,Simple navigation aid that points to micro-locations.,item_58869.png
58870,Frostbound Stitch 58870,Material,Wood Plank,Uncommon,Fishing,Duskhollow bogs,Core trade material used in many early recipes.,item_58870.png
58871,Lanternlit Carving 58871,Ingredient,Root,Common,Enchanting,Saltmarrow tidepools,Common crafting input used across cooking and alchemy.,item_58871.png
58872,Stormkissed Lantern 58872,World Object,Cache,Uncommon,Smithing,Duskhollow bogs,Placeable/interactive world piece for events.,item_58872.png
58873,Glimmering Charm Robe 58873,Gear,Cloth Robe,Common,None,Frostbriar trails,Baseline leveling piece with steady stats and simple flavor.,item_58873.png
58874,Cinder Ink 58874,Quest,Quest Item,Common,Herbalism,Emberford outskirts,Objective item for contracts and errands.,item_58874.png
58875,Glimmering Skein 58875,Map,Harbor Chart,Rare,Alchemy,Bramblefold hedges,Simple navigation aid that points to micro-locations.,item_58875.png
58876,Oathforged Pike 58876,Key,Salt Key,Common,Fishing,Ashen Ridge terraces,Basic key used for side doors and caches.,item_58876.png
58877,Hearthworn Token 58877,Material,Glass,Common,Jewelry,Glimmerdeep shore,Core trade material used in many early recipes.,item_58877.png
